REF_AREA,TIME_PERIOD,OBS_VALUE,DATABASE_ID,TIME_FORMAT,OBS_CONF,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL
VIR,2008,1.218624955,WB_WDI,P1Y,PU,Annual,Virgin Islands (U.S.),GDP growth (annual %)
PSE,2008,7.429182255,WB_WDI,P1Y,PU,Annual,West Bank and Gaza,GDP growth (annual %)
YEM,2008,3.64756947,WB_WDI,P1Y,PU,Annual,"Yemen, Rep.",GDP growth (annual %)
ZMB,2008,7.773895815,WB_WDI,P1Y,PU,Annual,Zambia,GDP growth (annual %)
ZWE,2008,-17.6689988,WB_WDI,P1Y,PU,Annual,Zimbabwe,GDP growth (annual %)
AFE,2009,0.919472851,WB_WDI,P1Y,PU,Annual,Eastern & Southern Africa,GDP growth (annual %)
AFW,2009,6.14119136,WB_WDI,P1Y,PU,Annual,Western & Central Africa,GDP growth (annual %)
ARB,2009,0.648247153,WB_WDI,P1Y,PU,Annual,Arab World,GDP growth (annual %)
CSS,2009,-3.392319578,WB_WDI,P1Y,PU,Annual,Caribbean small states,GDP growth (annual %)
CEB,2009,-3.622267345,WB_WDI,P1Y,PU,Annual,Central Europe and the Baltics,GDP growth (annual %)
EAR,2009,0.646995042,WB_WDI,P1Y,PU,Annual,Early-demographic dividend,GDP growth (annual %)
EAS,2009,2.624096095,WB_WDI,P1Y,PU,Annual,East Asia & Pacific,GDP growth (annual %)
EAP,2009,8.016037878,WB_WDI,P1Y,PU,Annual,East Asia & Pacific (excluding high income),GDP growth (annual %)
VIR,2005,3.485309017,WB_WDI,P1Y,PU,Annual,Virgin Islands (U.S.),GDP growth (annual %)
PSE,2005,11.29065118,WB_WDI,P1Y,PU,Annual,West Bank and Gaza,GDP growth (annual %)
YEM,2005,5.591748076,WB_WDI,P1Y,PU,Annual,"Yemen, Rep.",GDP growth (annual %)
ZMB,2005,7.235599007,WB_WDI,P1Y,PU,Annual,Zambia,GDP growth (annual %)
ZWE,2005,-5.711125412,WB_WDI,P1Y,PU,Annual,Zimbabwe,GDP growth (annual %)
AFE,2006,6.637497387,WB_WDI,P1Y,PU,Annual,Eastern & Southern Africa,GDP growth (annual %)
AFW,2006,5.287171042,WB_WDI,P1Y,PU,Annual,Western & Central Africa,GDP growth (annual %)
ARB,2006,6.276297341,WB_WDI,P1Y,PU,Annual,Arab World,GDP growth (annual %)
CSS,2006,7.832097791,WB_WDI,P1Y,PU,Annual,Caribbean small states,GDP growth (annual %)
CEB,2006,6.640535194,WB_WDI,P1Y,PU,Annual,Central Europe and the Baltics,GDP growth (annual %)
EAR,2006,6.141283911,WB_WDI,P1Y,PU,Annual,Early-demographic dividend,GDP growth (annual %)
EAS,2006,6.479931296,WB_WDI,P1Y,PU,Annual,East Asia & Pacific,GDP growth (annual %)
EAP,2006,11.07030933,WB_WDI,P1Y,PU,Annual,East Asia & Pacific (excluding high income),GDP growth (annual %)
TEA,2006,11.06977492,WB_WDI,P1Y,PU,Annual,East Asia & Pacific (IDA & IBRD),GDP growth (annual %)
UMC,2011,6.912302167,WB_WDI,P1Y,PU,Annual,Upper middle income,GDP growth (annual %)
WLD,2011,3.339003354,WB_WDI,P1Y,PU,Annual,World,GDP growth (annual %)
AFG,2011,0.426354777,WB_WDI,P1Y,PU,Annual,Afghanistan,GDP growth (annual %)
